SPMV_Chunck,Implementation,Total_Time_Med,Comp_Time_Med,VectorOps_Time_Med,SpMV_Time_Med,Epoch_Time_Med
256,CPP_THREADS,89.838596,89.816000000000,9.656,79.787,0.000
256,OMP_TASKS,93.211445,93.181000000000,13.266,79.822,0.000
256,MPI_OMP,33.679120,20.084000000000,8.575,11.509,0.000
512,CPP_THREADS,84.692079,84.680000000000,4.922,79.758,0.000
512,OMP_TASKS,86.549537,86.532000000000,6.699,79.833,0.000
512,MPI_OMP,30.038093,17.972000000000,4.017,13.685,0.000
1024,CPP_THREADS,82.886856,82.879000000000,2.544,80.335,0.000
1024,OMP_TASKS,83.747488,83.737000000000,3.488,80.258,0.000
1024,MPI_OMP,29.576567,18.084000000000,2.095,16.026,0.000
2048,CPP_THREADS,81.619057,81.614000000000,1.289,80.325,0.000
2048,OMP_TASKS,82.681036,82.673000000000,1.732,80.941,0.000
2048,MPI_OMP,31.694528,20.562000000000,1.011,19.517,0.000
4096,CPP_THREADS,81.977036,81.973000000000,0.691,81.282,0.000
4096,OMP_TASKS,82.429528,82.423000000000,0.851,81.581,0.000
4096,MPI_OMP,42.654676,27.275000000000,0.459,26.816,0.000
8192,CPP_THREADS,82.741325,82.737000000000,0.398,82.346,0.000
8192,OMP_TASKS,83.683023,83.677000000000,0.331,83.355,0.000
8192,MPI_OMP,46.877400,33.716000000000,0.203,33.513,0.000
16384,CPP_THREADS,101.809757,101.806000000000,0.263,101.546,0.000
16384,OMP_TASKS,120.183750,120.177000000000,0.229,119.947,0.000
16384,MPI_OMP,83.850670,71.587000000000,0.156,71.430,0.000
