Block_Size,Implementation,Computation_Time_s
256,CPP_THREADS,62.790389
256,OMP_TASKS,94.403933
256,MPI_OMP,58.973
512,CPP_THREADS,56.096620
512,OMP_TASKS,71.817514
512,MPI_OMP,31.381
1024,CPP_THREADS,52.657776
1024,OMP_TASKS,59.370927
1024,MPI_OMP,18.318
2048,CPP_THREADS,51.239764
2048,OMP_TASKS,54.718588
2048,MPI_OMP,23.425
4096,CPP_THREADS,51.568515
4096,OMP_TASKS,54.354120
4096,MPI_OMP,29.102
8192,CPP_THREADS,71.921135
8192,OMP_TASKS,83.129432
8192,MPI_OMP,44.459
16384,CPP_THREADS,98.757520
16384,OMP_TASKS,126.438095
16384,MPI_OMP,81.764
