Norm_Chunk,Implementation,Total_Time_Med,Comp_Time_Med,VectorOps_Time_Med,SpMV_Time_Med,Epoch_Time_Med
256,CPP_THREADS,61.897176,61.874000000000,13.735,48.531,0.000
256,OMP_TASKS,93.640,93.542000000000,45.445,48.319,0.000
256,MPI_OMP,47.321926,40.637000000000,28.665,11.723,0.000
512,CPP_THREADS,55.102493,55.090000000000,6.478,48.570,0.000
512,OMP_TASKS,70.629,70.579000000000,22.204,48.375,0.000
512,MPI_OMP,35.662794,26.295000000000,14.576,11.748,0.000
1024,CPP_THREADS,51.766516,51.758000000000,3.359,48.399,0.000
1024,OMP_TASKS,59.317,59.293000000000,10.605,48.739,0.000
1024,MPI_OMP,31.782732,18.584000000000,6.780,11.733,0.000
2048,CPP_THREADS,50.419180,50.413000000000,1.775,48.638,0.000
2048,OMP_TASKS,54.394,54.381000000000,5.505,48.822,0.000
2048,MPI_OMP,28.589216,13.880000000000,3.469,10.411,0.000
4096,CPP_THREADS,50.971285,50.966000000000,0.996,49.998,0.000
4096,OMP_TASKS,51.152,51.141000000000,2.789,48.342,0.000
4096,MPI_OMP,29.028089,13.476000000000,1.716,11.756,0.000
8192,CPP_THREADS,48.846207,48.842000000000,0.612,48.278,0.000
8192,OMP_TASKS,50.119,50.109000000000,1.440,48.676,0.000
8192,MPI_OMP,28.957971,12.574000000000,0.777,11.797,0.000
16384,CPP_THREADS,49.137794,49.134000000000,0.313,48.821,0.000
16384,OMP_TASKS,49.147,49.139000000000,0.703,48.436,0.000
16384,MPI_OMP,28.184774,12.134000000000,0.335,11.799,0.000
