Norm_Chunk,Implementation,Total_Time_Med,Comp_Time_Med,VectorOps_Time_Med,SpMV_Time_Med,Epoch_Time_Med
64,CPP_THREADS,117.103353,117.024000000000,37.130,79.894,0.000
64,OMP_TASKS,136.943254,136.827000000000,56.211,80.616,0.000
64,MPI_OMP,48.617487,47.193000000000,31.471,13.848,0.000
256,CPP_THREADS,89.521304,89.499000000000,9.439,79.941,0.000
256,OMP_TASKS,93.096271,93.065000000000,13.345,79.773,0.000
256,MPI_OMP,33.847937,25.826000000000,8.521,17.305,0.000
1024,CPP_THREADS,82.953585,82.945000000000,2.525,80.404,0.000
1024,OMP_TASKS,83.408742,83.398000000000,3.402,79.920,0.000
1024,MPI_OMP,28.223781,17.637000000000,2.133,15.486,0.000
4096,CPP_THREADS,80.693445,80.689000000000,0.743,79.962,0.000
4096,OMP_TASKS,83.974922,83.968000000000,0.854,83.189,0.000
4096,MPI_OMP,28.888012,17.123000000000,0.455,16.674,0.000
16384,CPP_THREADS,80.541636,80.538000000000,0.246,80.287,0.000
16384,OMP_TASKS,80.876511,80.871000000000,0.210,80.663,0.000
16384,MPI_OMP,28.884589,16.957000000000,0.159,16.800,0.000
65536,CPP_THREADS,80.428202,80.425000000000,0.216,80.209,0.000
65536,OMP_TASKS,81.580183,81.575000000000,0.200,81.376,0.000
65536,MPI_OMP,28.526350,16.464000000000,0.174,16.290,0.000
262144,CPP_THREADS,80.658067,80.654000000000,0.414,80.216,0.000
262144,OMP_TASKS,80.809689,80.804000000000,0.400,80.404,0.000
262144,MPI_OMP,29.488300,17.725000000000,0.407,17.318,0.000
